,game,reviewer_rating,positivity_ratio,first_release_date,game_modes,genres,themes,binned_developer,developer_RewindApp,developer_Ripknot Systems,developer_CAPCOM Co. Ltd.,developer_Kairosoft Co.Ltd,developer_Winged Cloud,developer_KOEI TECMO GAMES CO. LTD.,developer_Choice of Games,developer_EGAMER,developer_Scott Cawthon,developer_Tero Lunkka,binned_developer_encoded
209,Bakery Shop Simulator,5.0,2.08,2021,1,13,28,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
210,Labyrinth Escape,4.0,0.57,2017,1,32,1,Tero Lunkka,0,0,0,0,0,0,0,0,0,1,378
211,Let's Go Nuts!,7.0,7.75,2018,1,8,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
212,Trivia Vault: Toy Trivia,5.0,0.84,2018,1,13,1,Ripknot Systems,0,1,0,0,0,0,0,0,0,0,312
213,Trivia Vault: Celebrity Trivia,5.0,1.0,2018,1,13,1,Ripknot Systems,0,1,0,0,0,0,0,0,0,0,312
214,Trivia Vault: Golf Trivia,5.0,1.06,2018,1,15,1,Ripknot Systems,0,1,0,0,0,0,0,0,0,0,312
215,Beach Restaurant,5.0,0.79,2018,1,8,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
216,Fluffy Cubed,8.0,15.0,2021,1,9,35,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
217,LogicBots,6.0,3.83,2017,1,9,33,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
218,The Line,7.0,9.0,2020,1,13,31,ARVORE Immersive Experiences,0,0,0,0,0,0,0,0,0,0,9
219,The Line,7.0,9.0,2020,1,13,31,K148 Game Studio,0,0,0,0,0,0,0,0,0,0,191
220,The Line,7.0,9.0,2020,1,13,31,PaulArt,0,0,0,0,0,0,0,0,0,0,283
221,The Line,7.0,9.0,2020,1,13,31,ARVORE Immersive Experiences,0,0,0,0,0,0,0,0,0,0,9
222,The Line,7.0,9.0,2020,1,13,31,K148 Game Studio,0,0,0,0,0,0,0,0,0,0,191
223,The Line,7.0,9.0,2020,1,13,31,PaulArt,0,0,0,0,0,0,0,0,0,0,283
224,The Line,7.0,9.0,2020,1,13,31,ARVORE Immersive Experiences,0,0,0,0,0,0,0,0,0,0,9
